kind,name,id,time,team
End,Collect,Pride2,4228573764367,flying_concrete_godzillas
Start,Collect,Pride2,4228574215905,flying_concrete_godzillas
End,Collect,Sense5,4228575716177,flying_concrete_godzillas
Start,ComputeScalar,Sense5_Pride3,4228577206915,flying_concrete_godzillas
Start,Collect,Sense4,4228577212145,flying_concrete_godzillas
Start,ComputeScalar,Sense5,4228579687873,flying_concrete_godzillas
End,Tokenize,Sense6,4228594424335,flying_concrete_godzillas
Start,Tokenize,Sense3,4228594686498,flying_concrete_godzillas
End,Tokenize,Sense3,4228597548326,flying_concrete_godzillas
Start,Tokenize,Sense2,4228603768219,flying_concrete_godzillas
End,Tokenize,Sense2,4228605257748,flying_concrete_godzillas
Start,Tokenize,Sense5,4228616927357,flying_concrete_godzillas
End,ComputeScalar,Sense5_Pride3,4228624758498,flying_concrete_godzillas
End,Tokenize,Pride6,4228625526478,flying_concrete_godzillas
Start,Tokenize,Pride6,4228625720229,flying_concrete_godzillas
End,ComputeScalar,Sense5,4228627691558,flying_concrete_godzillas
Start,ComputeScalar,Pride3,4228627791793,flying_concrete_godzillas
End,Collect,Pride2,4228622531625,flying_concrete_godzillas
Start,Collect,Pride2,4228630739720,flying_concrete_godzillas
End,Collect,Pride2,4228634707457,flying_concrete_godzillas
Start,Collect,Pride2,4228634950921,flying_concrete_godzillas
End,Collect,Pride2,4228639597648,flying_concrete_godzillas
Start,Collect,Pride1,4228646575233,flying_concrete_godzillas
End,Collect,Pride1,4228648691606,flying_concrete_godzillas
Start,Collect,Pride1,4228648902077,flying_concrete_godzillas
End,ComputeScalar,Pride3,4228646327678,flying_concrete_godzillas
Start,ComputeCosine,Sense5_Pride3,4228722112174,flying_concrete_godzillas
End,ComputeCosine,Sense5_Pride3,4228722253600,flying_concrete_godzillas
End,Collect,Pride1,4228721360309,flying_concrete_godzillas
Start,Collect,Pride1,4228724685462,flying_concrete_godzillas
End,Tokenize,Sense5,4228725557031,flying_concrete_godzillas
Start,Tokenize,Sense4,4228725792305,flying_concrete_godzillas
End,Collect,Pride1,4228726993058,flying_concrete_godzillas
Start,Collect,Pride1,4228727847615,flying_concrete_godzillas
End,Collect,Pride1,4228729903479,flying_concrete_godzillas
Start,Collect,Pride1,4228731995229,flying_concrete_godzillas
End,Collect,Pride1,4228734920362,flying_concrete_godzillas
Start,Collect,Pride1,4228740634484,flying_concrete_godzillas
End,Collect,Pride1,4228744042814,flying_concrete_godzillas
Start,Collect,Pride6,4228744383987,flying_concrete_godzillas
End,Tokenize,Sense4,4228747396404,flying_concrete_godzillas
Start,Tokenize,Sense1,4228747648431,flying_concrete_godzillas
End,Tokenize,Sense1,4228748363240,flying_concrete_godzillas
Start,Tokenize,Sense6,4228767369833,flying_concrete_godzillas
End,Collect,Sense4,4228775141534,flying_concrete_godzillas
End,Tokenize,Pride6,4228781805056,flying_concrete_godzillas
Start,Tokenize,Pride6,4228782037639,flying_concrete_godzillas
Start,ComputeScalar,Sense4_Pride3,4228784715235,flying_concrete_godzillas
Start,ComputeScalar,Sense4,4228792726521,flying_concrete_godzillas
Start,Collect,Sense1,4228792714300,flying_concrete_godzillas
End,ComputeScalar,Sense4,4228798232306,flying_concrete_godzillas
Start,ComputeScalar,Pride3,4228798335094,flying_concrete_godzillas
End,Collect,Sense1,4228798589269,flying_concrete_godzillas
Start,Collect,Sense6,4228798810838,flying_concrete_godzillas
End,ComputeScalar,Sense4_Pride3,4228801814786,flying_concrete_godzillas
Start,ComputeScalar,Sense1_Pride3,4228802090830,flying_concrete_godzillas
End,ComputeScalar,Sense1_Pride3,4228803288485,flying_concrete_godzillas
End,ComputeScalar,Pride3,4228804611025,flying_concrete_godzillas
Start,ComputeCosine,Sense4_Pride3,4228804797123,flying_concrete_godzillas
End,ComputeCosine,Sense4_Pride3,4228804892971,flying_concrete_godzillas
Start,ComputeScalar,Sense1,4228805042124,flying_concrete_godzillas
End,ComputeScalar,Sense1,4228805675207,flying_concrete_godzillas
Start,ComputeScalar,Pride3,4228805735665,flying_concrete_godzillas
End,ComputeScalar,Pride3,4228808278988,flying_concrete_godzillas
Start,ComputeCosine,Sense1_Pride3,4228817491381,flying_concrete_godzillas
End,ComputeCosine,Sense1_Pride3,4228817649777,flying_concrete_godzillas
End,Tokenize,Sense6,4229022061088,flying_concrete_godzillas
Start,Tokenize,Sense3,4229028932562,flying_concrete_godzillas
End,Tokenize,Sense3,4229031819645,flying_concrete_godzillas
Start,Tokenize,Sense2,4229032115301,flying_concrete_godzillas
End,Tokenize,Sense2,4229033561188,flying_concrete_godzillas
Start,Tokenize,Sense5,4229034067812,flying_concrete_godzillas
End,Tokenize,Sense5,4229052811161,flying_concrete_godzillas
Start,Tokenize,Sense4,4229053485239,flying_concrete_godzillas
End,Tokenize,Sense4,4229059058116,flying_concrete_godzillas
End,Tokenize,Pride6,4229060557585,flying_concrete_godzillas
Start,Tokenize,Pride6,4229066293970,flying_concrete_godzillas
Start,Tokenize,Sense1,4229066237902,flying_concrete_godzillas
End,Tokenize,Sense1,4229067985806,flying_concrete_godzillas
Start,Tokenize,Sense6,4229068157881,flying_concrete_godzillas
End,Tokenize,Sense6,4229104500880,flying_concrete_godzillas
Start,Tokenize,Sense3,4229111032127,flying_concrete_godzillas
End,Tokenize,Sense3,4229113988544,flying_concrete_godzillas
Start,Tokenize,Sense2,4229119773132,flying_concrete_godzillas
End,Tokenize,Sense2,4229121324733,flying_concrete_godzillas
Start,Tokenize,Sense5,4229121475464,flying_concrete_godzillas
End,Tokenize,Sense5,4229135381233,flying_concrete_godzillas
Start,Tokenize,Sense4,4229140996464,flying_concrete_godzillas
End,Tokenize,Sense4,4230171578917,flying_concrete_godzillas
Start,Tokenize,Sense1,4230171884843,flying_concrete_godzillas
End,Tokenize,Sense1,4230172620806,flying_concrete_godzillas
Start,Tokenize,Sense6,4230172728736,flying_concrete_godzillas
End,Tokenize,Pride6,4230176292588,flying_concrete_godzillas
Start,Tokenize,Pride6,4230182307081,flying_concrete_godzillas
End,Tokenize,Sense6,4230241953492,flying_concrete_godzillas
Start,Tokenize,Sense3,4230242227194,flying_concrete_godzillas
End,Tokenize,Sense3,4230244864730,flying_concrete_godzillas
Start,Tokenize,Sense2,4230245054560,flying_concrete_godzillas
End,Tokenize,Sense2,4230246741074,flying_concrete_godzillas
Start,Tokenize,Sense5,4230246850686,flying_concrete_godzillas
End,Tokenize,Pride6,4230256736981,flying_concrete_godzillas
Start,Tokenize,Pride5,4230257007893,flying_concrete_godzillas
End,Collect,Pride6,4230269569613,flying_concrete_godzillas
Start,Collect,Pride6,4230270029244,flying_concrete_godzillas
End,Tokenize,Sense5,4230274633094,flying_concrete_godzillas
Start,Tokenize,Sense4,4230274871002,flying_concrete_godzillas
End,Tokenize,Pride5,4230291921003,flying_concrete_godzillas
Start,Tokenize,Pride5,4230292258382,flying_concrete_godzillas
End,Tokenize,Sense4,4230454336836,flying_concrete_godzillas
Start,Tokenize,Sense1,4230454652273,flying_concrete_godzillas
End,Tokenize,Sense1,4230455394186,flying_concrete_godzillas
Start,Tokenize,Sense6,4230455560911,flying_concrete_godzillas
End,Tokenize,Pride5,4230465599404,flying_concrete_godzillas
Start,Tokenize,Pride5,4230465843137,flying_concrete_godzillas
End,Collect,Sense6,4230481563248,flying_concrete_godzillas
Start,ComputeScalar,Sense6_Pride3,4230485957707,flying_concrete_godzillas
Start,Collect,Sense3,4230501007933,flying_concrete_godzillas
Start,ComputeScalar,Sense6,4230501021022,flying_concrete_godzillas
End,Tokenize,Pride5,4230520385490,flying_concrete_godzillas
End,Collect,Sense3,4230525090004,flying_concrete_godzillas
Start,Collect,Sense2,4230525340134,flying_concrete_godzillas
Start,Tokenize,Pride5,4230520617515,flying_concrete_godzillas
End,Collect,Sense2,4230542833784,flying_concrete_godzillas
Start,Collect,Sense5,4230543077703,flying_concrete_godzillas
End,Tokenize,Sense6,4230550992434,flying_concrete_godzillas
End,Tokenize,Pride5,4230556840185,flying_concrete_godzillas
Start,Tokenize,Pride5,4230557438194,flying_concrete_godzillas
End,ComputeScalar,Sense6,4230567620404,flying_concrete_godzillas
Start,ComputeScalar,Pride3,4230567831649,flying_concrete_godzillas
End,Tokenize,Pride5,4230577427674,flying_concrete_godzillas
Start,Tokenize,Pride5,4230577661830,flying_concrete_godzillas
End,ComputeScalar,Sense6_Pride3,4230578154519,flying_concrete_godzillas
Start,ComputeScalar,Sense3_Pride2,4230585048177,flying_concrete_godzillas
End,ComputeScalar,Sense3_Pride2,4230588560321,flying_concrete_godzillas
End,ComputeScalar,Pride3,4230581752553,flying_concrete_godzillas
Start,ComputeScalar,Sense3,4230593012647,flying_concrete_godzillas
Start,ComputeCosine,Sense6_Pride3,4230593133870,flying_concrete_godzillas
End,ComputeCosine,Sense6_Pride3,4230593232896,flying_concrete_godzillas
End,ComputeScalar,Sense3,4230599631268,flying_concrete_godzillas
Start,ComputeScalar,Pride2,4230599801705,flying_concrete_godzillas
Start,ComputeScalar,Sense2_Pride2,4230604519498,flying_concrete_godzillas
End,ComputeScalar,Sense2_Pride2,4230606432636,flying_concrete_godzillas
End,Tokenize,Pride5,4230606688008,flying_concrete_godzillas
Start,Tokenize,Pride4,4230606857195,flying_concrete_godzillas
End,Tokenize,Pride4,4230612103702,flying_concrete_godzillas
Start,Tokenize,Pride4,4230615180261,flying_concrete_godzillas
End,ComputeScalar,Pride2,4230621361756,flying_concrete_godzillas
Start,ComputeScalar,Sense2,4230621715241,flying_concrete_godzillas
End,ComputeScalar,Sense2,4230623263066,flying_concrete_godzillas
Start,ComputeScalar,Pride2,4230623490478,flying_concrete_godzillas
End,ComputeScalar,Pride2,4230628977756,flying_concrete_godzillas
Start,ComputeCosine,Sense3_Pride2,4230629259521,flying_concrete_godzillas
End,ComputeCosine,Sense3_Pride2,4230631074130,flying_concrete_godzillas
Start,ComputeCosine,Sense2_Pride2,4230631183776,flying_concrete_godzillas
End,ComputeCosine,Sense2_Pride2,4230631393826,flying_concrete_godzillas
End,Tokenize,Pride4,4231709838347,flying_concrete_godzillas
Start,Tokenize,Pride4,4231712585919,flying_concrete_godzillas
End,Tokenize,Pride4,4231732042647,flying_concrete_godzillas
Start,Tokenize,Pride4,4231732260021,flying_concrete_godzillas
End,Tokenize,Pride4,4231737638574,flying_concrete_godzillas
Start,Tokenize,Pride4,4231743790586,flying_concrete_godzillas
End,Collect,Pride6,4231741469241,flying_concrete_godzillas
Start,Collect,Pride6,4231748949388,flying_concrete_godzillas
End,Collect,Sense5,4231758592315,flying_concrete_godzillas
Start,ComputeScalar,Sense5_Pride2,4231758932472,flying_concrete_godzillas
Start,Collect,Sense4,4231770763684,flying_concrete_godzillas
Start,ComputeScalar,Sense5,4231770781699,flying_concrete_godzillas
End,ComputeScalar,Sense5_Pride2,4231776061269,flying_concrete_godzillas
End,Tokenize,Pride4,4231776959907,flying_concrete_godzillas
End,ComputeScalar,Sense5,4231780151758,flying_concrete_godzillas
Start,ComputeScalar,Pride2,4231780264513,flying_concrete_godzillas
Start,Tokenize,Pride4,4231780691364,flying_concrete_godzillas
End,ComputeScalar,Pride2,4231781256463,flying_concrete_godzillas
Start,ComputeCosine,Sense5_Pride2,4231781412648,flying_concrete_godzillas
End,Tokenize,Pride4,4231785845316,flying_concrete_godzillas
End,ComputeCosine,Sense5_Pride2,4231788868564,flying_concrete_godzillas
End,Collect,Sense4,4231815339913,flying_concrete_godzillas
Start,ComputeScalar,Sense4_Pride2,4231815684031,flying_concrete_godzillas
End,ComputeScalar,Sense4_Pride2,4231829752430,flying_concrete_godzillas
Start,ComputeScalar,Sense4,4231833125528,flying_concrete_godzillas
Start,Collect,Sense1,4231833120182,flying_concrete_godzillas
End,Collect,Sense1,4231834634969,flying_concrete_godzillas
Start,Collect,Sense6,4231834763011,flying_concrete_godzillas
End,ComputeScalar,Sense4,4231838285133,flying_concrete_godzillas
Start,ComputeScalar,Pride2,4231838419554,flying_concrete_godzillas
End,ComputeScalar,Pride2,4231839278254,flying_concrete_godzillas
Start,ComputeScalar,Sense1_Pride2,4231839366304,flying_concrete_godzillas
End,ComputeScalar,Sense1_Pride2,4231840119817,flying_concrete_godzillas
Start,ComputeCosine,Sense4_Pride2,4231840279156,flying_concrete_godzillas
Start,ComputeScalar,Sense1,4231840712987,flying_concrete_godzillas
End,ComputeScalar,Sense1,4231841093697,flying_concrete_godzillas
Start,ComputeScalar,Pride2,4231841141327,flying_concrete_godzillas
End,ComputeCosine,Sense4_Pride2,4231840382304,flying_concrete_godzillas
End,ComputeScalar,Pride2,4231841909468,flying_concrete_godzillas
Start,ComputeCosine,Sense1_Pride2,4231842065732,flying_concrete_godzillas
End,ComputeCosine,Sense1_Pride2,4231842148264,flying_concrete_godzillas
End,Collect,Pride6,4231897540720,flying_concrete_godzillas
Start,Collect,Pride6,4231897975951,flying_concrete_godzillas
End,Collect,Sense6,4232040505787,flying_concrete_godzillas
Start,ComputeScalar,Sense6,4232040992414,flying_concrete_godzillas
Start,ComputeScalar,Sense6_Pride2,4232040997160,flying_concrete_godzillas
Start,Collect,Sense3,4232048847443,flying_concrete_godzillas
End,Collect,Sense3,4232062694804,flying_concrete_godzillas
Start,Collect,Sense2,4232062965080,flying_concrete_godzillas
End,ComputeScalar,Sense6,4232065069247,flying_concrete_godzillas
Start,ComputeScalar,Pride2,4232065178696,flying_concrete_godzillas
End,ComputeScalar,Pride2,4232068560264,flying_concrete_godzillas
Start,ComputeScalar,Sense3,4232068808474,flying_concrete_godzillas
End,ComputeScalar,Sense6_Pride2,4232069971518,flying_concrete_godzillas
Start,ComputeCosine,Sense6_Pride2,4232070185752,flying_concrete_godzillas
End,ComputeCosine,Sense6_Pride2,4232070251320,flying_concrete_godzillas
Start,ComputeScalar,Sense3_Pride1,4232070579978,flying_concrete_godzillas
End,ComputeScalar,Sense3,4232071808169,flying_concrete_godzillas
Start,ComputeScalar,Pride1,4232071869225,flying_concrete_godzillas
End,ComputeScalar,Pride1,4232072261760,flying_concrete_godzillas
End,ComputeScalar,Sense3_Pride1,4232073684773,flying_concrete_godzillas
End,Collect,Sense2,4232074646389,flying_concrete_godzillas
Start,Collect,Sense5,4232075019440,flying_concrete_godzillas
Start,ComputeScalar,Sense2,4232076108988,flying_concrete_godzillas
Start,ComputeCosine,Sense3_Pride1,4232076522035,flying_concrete_godzillas
End,ComputeCosine,Sense3_Pride1,4232076642252,flying_concrete_godzillas
End,ComputeScalar,Sense2,4232077300220,flying_concrete_godzillas
Start,ComputeScalar,Pride1,4232077353176,flying_concrete_godzillas
End,ComputeScalar,Pride1,4232077790560,flying_concrete_godzillas
Start,ComputeScalar,Sense2_Pride1,4232078245083,flying_concrete_godzillas
End,ComputeScalar,Sense2_Pride1,4232079103265,flying_concrete_godzillas
Start,ComputeCosine,Sense2_Pride1,4232080908141,flying_concrete_godzillas
End,ComputeCosine,Sense2_Pride1,4232080984732,flying_concrete_godzillas
End,Collect,Pride6,4232164043849,flying_concrete_godzillas
Start,Collect,Pride6,4232164480762,flying_concrete_godzillas
End,Collect,Sense5,4232167402874,flying_concrete_godzillas
Start,ComputeScalar,Sense5_Pride1,4232167686103,flying_concrete_godzillas
Start,ComputeScalar,Sense5,4232177030706,flying_concrete_godzillas
Start,Collect,Sense4,4232185047873,flying_concrete_godzillas
End,ComputeScalar,Sense5_Pride1,4232191059097,flying_concrete_godzillas
End,ComputeScalar,Sense5,4232191442738,flying_concrete_godzillas
Start,ComputeScalar,Pride1,4232191498068,flying_concrete_godzillas
End,ComputeScalar,Pride1,4232191935114,flying_concrete_godzillas
Start,ComputeCosine,Sense5_Pride1,4232192963764,flying_concrete_godzillas
End,ComputeCosine,Sense5_Pride1,4232193165158,flying_concrete_godzillas
End,Collect,Sense4,4232210199815,flying_concrete_godzillas
Start,ComputeScalar,Sense4_Pride1,4232210483047,flying_concrete_godzillas
End,ComputeScalar,Sense4_Pride1,4232214513656,flying_concrete_godzillas
Start,Collect,Sense1,4232214894707,flying_concrete_godzillas
Start,ComputeScalar,Sense4,4232214914098,flying_concrete_godzillas
End,Collect,Sense1,4232218436038,flying_concrete_godzillas
Start,ComputeScalar,Sense1_Pride1,4232218719430,flying_concrete_godzillas
End,ComputeScalar,Sense1_Pride1,4232219258983,flying_concrete_godzillas
Start,Collect,Sense6,4232219530510,flying_concrete_godzillas
End,ComputeScalar,Sense4,4232222577152,flying_concrete_godzillas
Start,ComputeScalar,Pride1,4232222719395,flying_concrete_godzillas
End,ComputeScalar,Pride1,4232223134385,flying_concrete_godzillas
Start,ComputeScalar,Sense1,4232226696625,flying_concrete_godzillas
End,ComputeScalar,Sense1,4232227322138,flying_concrete_godzillas
Start,ComputeScalar,Pride1,4232227369486,flying_concrete_godzillas
End,ComputeScalar,Pride1,4232227751210,flying_concrete_godzillas
Start,ComputeCosine,Sense4_Pride1,4232227911410,flying_concrete_godzillas
End,ComputeCosine,Sense4_Pride1,4232227994633,flying_concrete_godzillas
Start,ComputeCosine,Sense1_Pride1,4232228066277,flying_concrete_godzillas
End,ComputeCosine,Sense1_Pride1,4232228110881,flying_concrete_godzillas
End,Collect,Pride6,4232306989659,flying_concrete_godzillas
Start,Collect,Pride6,4232307844078,flying_concrete_godzillas
End,Collect,Sense6,4232499796382,flying_concrete_godzillas
Start,ComputeScalar,Sense6_Pride1,4232500236485,flying_concrete_godzillas
Start,Collect,Sense3,4232510381920,flying_concrete_godzillas
Start,ComputeScalar,Sense6,4232510392286,flying_concrete_godzillas
End,ComputeScalar,Sense6_Pride1,4232517308952,flying_concrete_godzillas
End,Collect,Sense3,4232521963719,flying_concrete_godzillas
Start,Collect,Sense2,4232522187224,flying_concrete_godzillas
End,Collect,Sense2,4232524798700,flying_concrete_godzillas
Start,Collect,Sense5,4232524976744,flying_concrete_godzillas
Start,ComputeScalar,Sense3_Pride6,4232528214546,flying_concrete_godzillas
End,ComputeScalar,Sense3_Pride6,4232533320734,flying_concrete_godzillas
Start,ComputeScalar,Sense2_Pride6,4232533638360,flying_concrete_godzillas
End,ComputeScalar,Sense2_Pride6,4232536562100,flying_concrete_godzillas
End,ComputeScalar,Sense6,4232538879832,flying_concrete_godzillas
Start,ComputeScalar,Pride1,4232539039978,flying_concrete_godzillas
End,ComputeScalar,Pride1,4232539452102,flying_concrete_godzillas
Start,ComputeScalar,Sense3,4232539582573,flying_concrete_godzillas
Start,ComputeCosine,Sense6_Pride1,4232541253130,flying_concrete_godzillas
End,ComputeCosine,Sense6_Pride1,4232541331761,flying_concrete_godzillas
End,ComputeScalar,Sense3,4232553183686,flying_concrete_godzillas
Start,ComputeScalar,Pride6,4232553314259,flying_concrete_godzillas
End,ComputeScalar,Pride6,4232588412434,flying_concrete_godzillas
Start,ComputeCosine,Sense3_Pride6,4232589409225,flying_concrete_godzillas
End,ComputeCosine,Sense3_Pride6,4232589492122,flying_concrete_godzillas
Start,ComputeScalar,Sense2,4232589392491,flying_concrete_godzillas
End,ComputeScalar,Sense2,4232592491965,flying_concrete_godzillas
Start,ComputeScalar,Pride6,4232592556844,flying_concrete_godzillas
End,Collect,Sense5,4232606201073,flying_concrete_godzillas
Start,ComputeScalar,Sense5_Pride6,4232606512950,flying_concrete_godzillas
End,Collect,Pride6,4232610091894,flying_concrete_godzillas
Start,Collect,Pride5,4232614652970,flying_concrete_godzillas
Start,Collect,Sense4,4232628384095,flying_concrete_godzillas
End,ComputeScalar,Pride6,4232636015611,flying_concrete_godzillas
Start,ComputeScalar,Sense5,4232636443107,flying_concrete_godzillas
Start,ComputeCosine,Sense2_Pride6,4232641124265,flying_concrete_godzillas
End,ComputeCosine,Sense2_Pride6,4232641315493,flying_concrete_godzillas
End,ComputeScalar,Sense5_Pride6,4232655806103,flying_concrete_godzillas
End,ComputeScalar,Sense5,4232662361894,flying_concrete_godzillas
Start,ComputeScalar,Pride6,4232673088582,flying_concrete_godzillas
End,Collect,Sense4,4232678773604,flying_concrete_godzillas
Start,ComputeScalar,Sense4_Pride6,4232684846259,flying_concrete_godzillas
End,ComputeScalar,Pride6,4232692465075,flying_concrete_godzillas
Start,ComputeCosine,Sense5_Pride6,4232692764580,flying_concrete_godzillas
End,ComputeCosine,Sense5_Pride6,4232692881080,flying_concrete_godzillas
Start,ComputeScalar,Sense4,4232693311541,flying_concrete_godzillas
End,ComputeScalar,Sense4,4232704078859,flying_concrete_godzillas
Start,ComputeScalar,Pride6,4232704311115,flying_concrete_godzillas
Start,Collect,Sense1,4232708605232,flying_concrete_godzillas
End,Collect,Sense1,4232709990150,flying_concrete_godzillas
Start,Collect,Sense6,4232710092398,flying_concrete_godzillas
End,ComputeScalar,Sense4_Pride6,4232713835518,flying_concrete_godzillas
Start,ComputeScalar,Sense1_Pride6,4232714126079,flying_concrete_godzillas
End,Collect,Pride5,4232715657769,flying_concrete_godzillas
End,ComputeScalar,Sense1_Pride6,4232715701251,flying_concrete_godzillas
Start,Collect,Pride5,4232715839348,flying_concrete_godzillas
End,ComputeScalar,Pride6,4232734130626,flying_concrete_godzillas
Start,ComputeCosine,Sense4_Pride6,4232740352237,flying_concrete_godzillas
End,ComputeCosine,Sense4_Pride6,4232740511593,flying_concrete_godzillas
Start,ComputeScalar,Sense1,4232741585524,flying_concrete_godzillas
End,ComputeScalar,Sense1,4232742135874,flying_concrete_godzillas
Start,ComputeScalar,Pride6,4232742176501,flying_concrete_godzillas
End,ComputeScalar,Pride6,4232767452405,flying_concrete_godzillas
