kind,name,id,time,team,combination_id
End,Tokenize,Sense1,10583364568076,naturakka,7
Start,Collect,Sense1,10583364642666,naturakka,7
End,Tokenize,Pride2,10583366613614,naturakka,7
Start,Collect,Pride2,10583366654150,naturakka,7
End,Collect,Sense1,10583367851755,naturakka,7
Start,ComputeScalar,Sense1,10583367880476,naturakka,7
End,ComputeScalar,Sense1,10583368076095,naturakka,7
End,Collect,Pride2,10583373977458,naturakka,7
Start,ComputeScalar,Pride2,10583374027743,naturakka,7
Start,ComputeScalar,Sense1_Pride2,10583374108002,naturakka,7
End,ComputeScalar,Pride2,10583374319819,naturakka,7
End,ComputeScalar,Sense1_Pride2,10583376682454,naturakka,7
Start,ComputeCosine,Sense1_Pride2,10583376711211,naturakka,7
End,ComputeCosine,Sense1_Pride2,10583376759960,naturakka,7
Start,Tokenize,Pride2,10583427124017,naturakka,8
Start,Tokenize,Sense2,10583427185466,naturakka,8
End,Tokenize,Sense2,10583431205468,naturakka,8
Start,Collect,Sense2,10583431257183,naturakka,8
End,Tokenize,Pride2,10583432606177,naturakka,8
Start,Collect,Pride2,10583432661596,naturakka,8
End,Collect,Sense2,10583438207822,naturakka,8
Start,ComputeScalar,Sense2,10583438379861,naturakka,8
End,ComputeScalar,Sense2,10583438664486,naturakka,8
End,Collect,Pride2,10583439674580,naturakka,8
Start,ComputeScalar,Sense2_Pride2,10583439709484,naturakka,8
Start,ComputeScalar,Pride2,10583439741234,naturakka,8
End,ComputeScalar,Pride2,10583440029555,naturakka,8
End,ComputeScalar,Sense2_Pride2,10583444776691,naturakka,8
Start,ComputeCosine,Sense2_Pride2,10583444818081,naturakka,8
End,ComputeCosine,Sense2_Pride2,10583444872269,naturakka,8
Start,Tokenize,Pride2,10583493422119,naturakka,9
Start,Tokenize,Sense3,10583493461687,naturakka,9
End,Tokenize,Pride2,10583497214738,naturakka,9
Start,Collect,Pride2,10583497270634,naturakka,9
End,Tokenize,Sense3,10583503524552,naturakka,9
Start,Collect,Sense3,10583503590257,naturakka,9
Start,ComputeScalar,Pride2,10583506735894,naturakka,9
