kind,name,id,time,team,combination_id
Start,ComputeScalar,Pride6,1924471856356.0,Whatever,6
End,ComputeScalar,Pride6,1957625888599.0,Whatever,6
Start,ComputeCosine,Sense1_Pride6,1957626048770.0,Whatever,6
End,ComputeCosine,Sense1_Pride6,1957626081040.0,Whatever,6
Start,Tokenize,Sense2,1959631547382.0,Whatever,7
Start,Tokenize,Pride1,1959631625615.0,Whatever,7
End,Tokenize,Pride1,1959632785055.0,Whatever,7
Start,Collect,Pride1,1959632891745.0,Whatever,7
End,Tokenize,Sense2,1959633699087.0,Whatever,7
Start,Collect,Sense2,1959633813375.0,Whatever,7
End,Collect,Pride1,1959686282852.0,Whatever,7
Start,ComputeScalar,Pride1,1959686521186.0,Whatever,7
End,ComputeScalar,Pride1,1959726039054.0,Whatever,7
End,Collect,Sense2,1959835553667.0,Whatever,7
Start,ComputeScalar,Sense2,1959835714261.0,Whatever,7
End,ComputeScalar,Sense2,1959983463233.0,Whatever,7
Start,ComputeScalar,Sense2_Pride1,1959983599455.0,Whatever,7
End,ComputeScalar,Sense2_Pride1,1960123222691.0,Whatever,7
Start,ComputeCosine,Sense2_Pride1,1960123433272.0,Whatever,7
End,ComputeCosine,Sense2_Pride1,1960123473113.0,Whatever,7
Start,Tokenize,Sense2,1962147564607.0,Whatever,8
Start,Tokenize,Pride2,1962147600803.0,Whatever,8
End,Tokenize,Pride2,1962150700714.0,Whatever,8
End,Tokenize,Sense2,1962150755356.0,Whatever,8
Start,Collect,Pride2,1962150844639.0,Whatever,8
Start,Collect,Sense2,1962150847007.0,Whatever,8
End,Collect,Sense2,1962366845955.0,Whatever,8
Start,ComputeScalar,Sense2,1962367226929.0,Whatever,8
End,Collect,Pride2,1962372249069.0,Whatever,8
End,ComputeScalar,Sense2,1962515114298.0,Whatever,8
Start,ComputeScalar,Sense2_Pride2,1962515271809.0,Whatever,8
End,ComputeScalar,Sense2_Pride2,1962790622258.0,Whatever,8
Start,ComputeScalar,Pride2,1962790750439.0,Whatever,8
End,ComputeScalar,Pride2,1962938003918.0,Whatever,8
Start,ComputeCosine,Sense2_Pride2,1962938182118.0,Whatever,8
End,ComputeCosine,Sense2_Pride2,1962938220631.0,Whatever,8
Start,Tokenize,Sense2,1964944877263.0,Whatever,9
Start,Tokenize,Pride3,1964944983006.0,Whatever,9
End,Tokenize,Sense2,1964949411232.0,Whatever,9
Start,Collect,Sense2,1964949567478.0,Whatever,9
End,Tokenize,Pride3,1964955691407.0,Whatever,9
Start,Collect,Pride3,1964955865935.0,Whatever,9
End,Collect,Sense2,1965171583866.0,Whatever,9
Start,ComputeScalar,Sense2,1965171802846.0,Whatever,9
End,ComputeScalar,Sense2,1965326931604.0,Whatever,9
End,Collect,Pride3,1965790511447.0,Whatever,9
Start,ComputeScalar,Sense2_Pride3,1965790777923.0,Whatever,9
End,ComputeScalar,Sense2_Pride3,1966338326964.0,Whatever,9
Start,ComputeScalar,Pride3,1966338436200.0,Whatever,9
End,ComputeScalar,Pride3,1966853839211.0,Whatever,9
Start,ComputeCosine,Sense2_Pride3,1966853991208.0,Whatever,9
End,ComputeCosine,Sense2_Pride3,1966854022434.0,Whatever,9
Start,Tokenize,Sense2,1968860319096.0,Whatever,10
Start,Tokenize,Pride4,1968860480952.0,Whatever,10
End,Tokenize,Sense2,1968862926080.0,Whatever,10
Start,Collect,Sense2,1968863078278.0,Whatever,10
End,Tokenize,Pride4,1968869628779.0,Whatever,10
Start,Collect,Pride4,1968869794479.0,Whatever,10
End,Collect,Sense2,1969088862155.0,Whatever,10
Start,ComputeScalar,Sense2,1969089057103.0,Whatever,10
End,ComputeScalar,Sense2,1969248965989.0,Whatever,10
End,Collect,Pride4,1972574606795.0,Whatever,10
Start,ComputeScalar,Sense2_Pride4,1972574818129.0,Whatever,10
End,ComputeScalar,Sense2_Pride4,1973988086867.0,Whatever,10
Start,ComputeScalar,Pride4,1973988201084.0,Whatever,10
End,ComputeScalar,Pride4,1976093049804.0,Whatever,10
Start,ComputeCosine,Sense2_Pride4,1976093204180.0,Whatever,10
End,ComputeCosine,Sense2_Pride4,1976093235726.0,Whatever,10
Start,Tokenize,Sense2,1978114047733.0,Whatever,11
Start,Tokenize,Pride5,1978114174001.0,Whatever,11
End,Tokenize,Sense2,1978116212039.0,Whatever,11
Start,Collect,Sense2,1978116366339.0,Whatever,11
End,Tokenize,Pride5,1978140106343.0,Whatever,11
Start,Collect,Pride5,1978140319772.0,Whatever,11
End,Collect,Sense2,1978345122231.0,Whatever,11
Start,ComputeScalar,Sense2,1978345291861.0,Whatever,11
End,ComputeScalar,Sense2,1978499653490.0,Whatever,11
End,Collect,Pride5,1995500448183.0,Whatever,11
Start,ComputeScalar,Pride5,1995500673709.0,Whatever,11
End,ComputeScalar,Pride5,2004543367668.0,Whatever,11
Start,ComputeScalar,Sense2_Pride5,2004543488813.0,Whatever,11
End,ComputeScalar,Sense2_Pride5,2007389102114.0,Whatever,11
Start,ComputeCosine,Sense2_Pride5,2007389260020.0,Whatever,11
End,ComputeCosine,Sense2_Pride5,2007389290477.0,Whatever,11
Start,Tokenize,Sense2,2009415408884.0,Whatever,12
Start,Tokenize,Pride6,2009415498472.0,Whatever,12
End,Tokenize,Sense2,2009417931195.0,Whatever,12
Start,Collect,Sense2,2009418237605.0,Whatever,12
End,Tokenize,Pride6,2009467769123.0,Whatever,12
Start,Collect,Pride6,2009467964049.0,Whatever,12
End,Collect,Sense2,2009644763364.0,Whatever,12
Start,ComputeScalar,Sense2,2009644961837.0,Whatever,12
End,ComputeScalar,Sense2,2009793627545.0,Whatever,12
End,Collect,Pride6,2072348169451.0,Whatever,12
Start,ComputeScalar,Pride6,2072348343472.0,Whatever,12
End,ComputeScalar,Pride6,2100021832130.0,Whatever,12
Start,ComputeScalar,Sense2_Pride6,2100021947585.0,Whatever,12
End,ComputeScalar,Sense2_Pride6,2104487419338.0,Whatever,12
Start,ComputeCosine,Sense2_Pride6,2104487611400.0,Whatever,12
End,ComputeCosine,Sense2_Pride6,2104487634185.0,Whatever,12
Start,Tokenize,Sense3,2106509279053.0,Whatever,13
Start,Tokenize,Pride1,2106509537657.0,Whatever,13
End,Tokenize,Pride1,2106511666828.0,Whatever,13
Start,Collect,Pride1,2106511787526.0,Whatever,13
End,Tokenize,Sense3,2106514689531.0,Whatever,13
Start,Collect,Sense3,2106514810550.0,Whatever,13
End,Collect,Pride1,2106564100267.0,Whatever,13
Start,ComputeScalar,Pride1,2106564253343.0,Whatever,13
End,ComputeScalar,Pride1,2106603255298.0,Whatever,13
End,Collect,Sense3,2107301948928.0,Whatever,13
