kind,name,id,time,team,combination_id
Start,ComputeScalar,Pride1_Sense5,1188562992107993.0,KrIptonLab-csi,5
End,ComputeScalar,Pride1_Sense5,1188562995428305.0,KrIptonLab-csi,5
End,ComputeScalar,Sense5,1188563030276378.0,KrIptonLab-csi,5
Start,ComputeCosine,Pride1_Sense5,1188563030534550.0,KrIptonLab-csi,5
End,ComputeCosine,Pride1_Sense5,1188563030622186.0,KrIptonLab-csi,5
Start,Tokenize,Pride1,1188563099925548.0,KrIptonLab-csi,6
End,Tokenize,Pride1,1188563116836202.0,KrIptonLab-csi,6
Start,Tokenize,Sense6,1188563119295151.0,KrIptonLab-csi,6
Start,Collect,Pride1,1188563122628095.0,KrIptonLab-csi,6
End,Collect,Pride1,1188563148771749.0,KrIptonLab-csi,6
Start,ComputeScalar,Pride1,1188563149336253.0,KrIptonLab-csi,6
End,ComputeScalar,Pride1,1188563157904086.0,KrIptonLab-csi,6
End,Tokenize,Sense6,1188563545525494.0,KrIptonLab-csi,6
Start,Collect,Sense6,1188563545706293.0,KrIptonLab-csi,6
End,Collect,Sense6,1188563608270737.0,KrIptonLab-csi,6
Start,ComputeScalar,Sense6,1188563608468511.0,KrIptonLab-csi,6
Start,ComputeScalar,Pride1_Sense6,1188563608515488.0,KrIptonLab-csi,6
End,ComputeScalar,Pride1_Sense6,1188563612525047.0,KrIptonLab-csi,6
End,ComputeScalar,Sense6,1188563672439874.0,KrIptonLab-csi,6
Start,ComputeCosine,Pride1_Sense6,1188563672595014.0,KrIptonLab-csi,6
End,ComputeCosine,Pride1_Sense6,1188563672641990.0,KrIptonLab-csi,6
Start,Tokenize,Pride2,1188563718020240.0,KrIptonLab-csi,7
Start,Tokenize,Sense1,1188563726449118.0,KrIptonLab-csi,7
End,Tokenize,Sense1,1188563738734784.0,KrIptonLab-csi,7
Start,Collect,Sense1,1188563739396793.0,KrIptonLab-csi,7
End,Collect,Sense1,1188563741619282.0,KrIptonLab-csi,7
Start,ComputeScalar,Sense1,1188563742248132.0,KrIptonLab-csi,7
End,ComputeScalar,Sense1,1188563744597733.0,KrIptonLab-csi,7
End,Tokenize,Pride2,1188563763656661.0,KrIptonLab-csi,7
Start,Collect,Pride2,1188563764058920.0,KrIptonLab-csi,7
End,Collect,Pride2,1188563770139381.0,KrIptonLab-csi,7
Start,ComputeScalar,Pride2,1188563770529007.0,KrIptonLab-csi,7
End,ComputeScalar,Pride2,1188563777121470.0,KrIptonLab-csi,7
Start,ComputeScalar,Pride2_Sense1,1188563777518202.0,KrIptonLab-csi,7
End,ComputeScalar,Pride2_Sense1,1188563781924099.0,KrIptonLab-csi,7
Start,ComputeCosine,Pride2_Sense1,1188563783377204.0,KrIptonLab-csi,7
End,ComputeCosine,Pride2_Sense1,1188563783655903.0,KrIptonLab-csi,7
